# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::node	0.1.0	9	5-6
# ::root	0	container
# ::edge	9	example	each	0.1.0	0.1	
# ::edge	canvas	mod	grey	0.0.0.0	0.0.0.0.0	
# ::edge	canvas	poss	money	0.0.0.0	0.0.0	
# ::edge	container	op1	each	0	0.1	
# ::edge	pack-01	ARG1	money	0.0	0.0.0	
# ::edge	pack-01	location	container	0.0	0	
(c2 / container 
      :location-of (p / pack-01 
            :ARG1 (m / money 
                  :poss-of (c / canvas 
                        :mod (g / grey)))) 
      :op1 (e / each 
            :example-of 9))

# ::snt whenever the government attempts to placate the population with sackings or promises of political liberalism the numbers of demonstrators increase and the slogans become yet more radical
# ::tok whenever the government attempts to placate the population with sackings or promises of political liberalism the numbers of demonstrators increase and the slogans become yet more radical
# ::alignments 26-27|0.0.0.0.0.0.0 24-25|0.0.0.0.0.1.1.0.0.1 23-24|0.0.0.0.0.0 20-21|0.0.0.0.0 19-20|0.0.0 18-19|0+0.0 16-17|0.0.0.0 14-15|0.0.0.0.0.1.0 13-14|0.0.0.0.0.1.0.0 11-12|0.0.0.0.0.1 10-11|0.0.0.0.0.1.1 7-8|0.0.0.0.0.1.1.0 3-4|0.0.0.0.0.1.1.0.0 0-1|0.0.0.0.0.1.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:42.562
# ::node	0	demonstrate-01	18-19
# ::node	0.0	person	18-19
# ::node	0.0.0	increase-01	19-20
# ::node	0.0.0.0	number	16-17
# ::node	0.0.0.0.0	and	20-21
# ::node	0.0.0.0.0.0	become-01	23-24
# ::node	0.0.0.0.0.0.0	radical	26-27
# ::node	0.0.0.0.0.1	promise-01	11-12
# ::node	0.0.0.0.0.1.0	liberalism	14-15
# ::node	0.0.0.0.0.1.0.0	politics	13-14
# ::node	0.0.0.0.0.1.1	or	10-11
# ::node	0.0.0.0.0.1.1.0	population	7-8
# ::node	0.0.0.0.0.1.1.0.0	attempt-01	3-4
# ::node	0.0.0.0.0.1.1.0.0.0	whenever	0-1
# ::node	0.0.0.0.0.1.1.0.0.1	yet	24-25
# ::root	0	demonstrate-01
# ::edge	and	op1	promise-01	0.0.0.0.0	0.0.0.0.0.1	
# ::edge	and	op2	number	0.0.0.0.0	0.0.0.0	
# ::edge	attempt-01	ARG0	whenever	0.0.0.0.0.1.1.0.0	0.0.0.0.0.1.1.0.0.0	
# ::edge	attempt-01	ARG1	population	0.0.0.0.0.1.1.0.0	0.0.0.0.0.1.1.0	
# ::edge	become-01	ARG1	radical	0.0.0.0.0.0	0.0.0.0.0.0.0	
# ::edge	become-01	ARG2	and	0.0.0.0.0.0	0.0.0.0.0	
# ::edge	demonstrate-01	ARG0	person	0	0.0	
# ::edge	increase-01	ARG1	person	0.0.0	0.0	
# ::edge	increase-01	quant	number	0.0.0	0.0.0.0	
# ::edge	liberalism	mod	politics	0.0.0.0.0.1.0	0.0.0.0.0.1.0.0	
# ::edge	or	op1	promise-01	0.0.0.0.0.1.1	0.0.0.0.0.1	
# ::edge	population	location	or	0.0.0.0.0.1.1.0	0.0.0.0.0.1.1	
# ::edge	promise-01	ARG1	liberalism	0.0.0.0.0.1	0.0.0.0.0.1.0	
# ::edge	yet	op1	attempt-01	0.0.0.0.0.1.1.0.0.1	0.0.0.0.0.1.1.0.0	
(d / demonstrate-01 
      :ARG0 (p / person 
            :ARG1-of (i / increase-01 
                  :quant (n / number 
                        :op-of (a / and 
                              :ARG2-of (b / become-01 
                                    :ARG1 (r / radical)) 
                              :op1 (p3 / promise-01 
                                    :ARG1 (l / liberalism 
                                          :mod (p2 / politics)) 
                                    :op-of (o / or 
                                          :location-of (p4 / population 
                                                :ARG1-of (a2 / attempt-01 
                                                      :ARG0 (w / whenever) 
                                                      :op-of (y / yet))))))))))

# ::snt 99 and a teddy cumsantas sack in jaunty red cap  9
# ::tok 99 and a teddy cumsantas sack in jaunty red cap 9
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:42.563
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt he saw rosie stretch up catch the damp pants between her teeth and slowly draw them down to her grimy sacking intent on ripping them to shreds
# ::tok he saw rosie stretch up catch the damp pants between her teeth and slowly draw them down to her grimy sacking intent on ripping them to shreds
# ::alignments 26-27|0.0.0.2.0.0.0 21-22|0 16-17|0.0 14-15|0.0.0 13-14|0.0.0.1 12-13|0.0.0.2 11-12|0.0.0.0 9-10|0.0.0.0.0 3-4|0.0.0.2.0.1.0+0.0.0.2.0.1 1-2|0.0.0.2.0 0-1|0.0.0.2.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:42.660
# ::node	0	intend-01	21-22
# ::node	0.0	down	16-17
# ::node	0.0.0	draw-02	14-15
# ::node	0.0.0.0	tooth	11-12
# ::node	0.0.0.0.0	between	9-10
# ::node	0.0.0.1	slow	13-14
# ::node	0.0.0.2	and	12-13
# ::node	0.0.0.2.0	see-01	1-2
# ::node	0.0.0.2.0.0	he	0-1
# ::node	0.0.0.2.0.0.0	shred-01	26-27
# ::node	0.0.0.2.0.1	thing	3-4
# ::node	0.0.0.2.0.1.0	stretch-01	3-4
# ::root	0	intend-01
(i / intend-01 
      :op-of (d / down 
            :ARG2-of (d2 / draw-02 
                  :ARG1 (t / tooth 
                        :op-of (b / between)) 
                  :manner (s2 / slow) 
                  :op-of (a / and 
                        :op1 (s4 / see-01 
                              :ARG0 (h / he 
                                    :ARG1-of (s / shred-01)) 
                              :ARG1 (t2 / thing 
                                    :ARG1-of (s3 / stretch-01)))))))

# ::snt a scene from warner bros film delinquents is casual sex the norm  senior appeal judge lord justice watkins forced to suspend court sitting when five women against rape protestors staged noisy demonstration demanding judges sacking over his decision last week to clear pc peter anderson of raping teenage girl in panda car
# ::tok a scene from warner bros film delinquents is casual sex the norm senior appeal judge lord justice watkins forced to suspend court sitting when five women against rape protestors staged noisy demonstration demanding judges sacking over his decision last week to clear pc peter anderson of raping teenage girl in panda car
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:42.662
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt sacking takes about 75 per cent of the crop, 5m bales from which they cannot drop much as there is still no substitute for jute sacking as a crop carrier
# ::tok sacking takes about 75 per cent of the crop , 5m bales from which they cannot drop much as there is still no substitute for jute sacking as a crop carrier
# ::alignments 30-31|0.3.0 29-30|0.3 23-24|0.1 22-23|0.1.3 21-22|0.1.2 17-18|0.2 16-17|0 14-15|0.0 8-9|0.1.1 5-6|0.1.1.0+0.1.1.0.0 3-4|0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.115
# ::node	0	drop-01	16-17
# ::node	0.0	they	14-15
# ::node	0.1	substitute-01	23-24
# ::node	0.1.0	75	3-4
# ::node	0.1.1	crop	8-9
# ::node	0.1.1.0	cent	5-6
# ::node	0.1.1.0.0	monetary-quantity	5-6
# ::node	0.1.2	still	21-22
# ::node	0.1.3	-	22-23
# ::node	0.2	much	17-18
# ::node	0.3	crop	29-30
# ::node	0.3.0	carrier	30-31
# ::root	0	drop-01
# ::edge	carrier	mod	crop	0.3.0	0.3	
# ::edge	cent	location	crop	0.1.1.0	0.1.1	
# ::edge	crop	op1	drop-01	0.3	0	
# ::edge	drop-01	ARG0	they	0	0.0	
# ::edge	drop-01	ARG1	substitute-01	0	0.1	
# ::edge	drop-01	concession	much	0	0.2	
# ::edge	monetary-quantity	unit	cent	0.1.1.0.0	0.1.1.0	
# ::edge	substitute-01	ARG0	75	0.1	0.1.0	
# ::edge	substitute-01	ARG1	crop	0.1	0.1.1	
# ::edge	substitute-01	manner	still	0.1	0.1.2	
# ::edge	substitute-01	polarity	-	0.1	0.1.3	
(d / drop-01 
      :ARG0 (t / they) 
      :ARG1 (s / substitute-01 
            :ARG0 75 
            :ARG1 (c3 / crop 
                  :location-of (c4 / cent 
                        :unit-of (m2 / monetary-quantity))) 
            :manner (s2 / still) 
            :polarity (- / -)) 
      :concession (m / much) 
      :op-of (c2 / crop 
            :mod-of (c / carrier)))

# ::snt wednesday  barnsleys allan clarke follows mills and scarboroughs colin morris becoming the third managerial sacking in as many days
# ::tok wednesday barnsleys allan clarke follows mills and scarboroughs colin morris becoming the third managerial sacking in as many days
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.116
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt with some pros you could have got the sack on the spot
# ::tok with some pros you could have got the sack on the spot
# ::alignments 11-12|0.0.0 4-5|0 3-4|0.0 1-2|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.135
# ::node	0	possible	4-5
# ::node	0.0	you	3-4
# ::node	0.0.0	spot	11-12
# ::node	0.0.0.0	some	1-2
# ::root	0	possible
# ::edge	possible	degree	you	0	0.0	
# ::edge	spot	poss	some	0.0.0	0.0.0.0	
# ::edge	spot	poss	you	0.0.0	0.0	
(p / possible 
      :degree (y / you 
            :poss-of (s / spot 
                  :poss (s2 / some))))

# ::snt conscious of the old boy watching her with hands on hips fiona dragged the sacks down the short concrete stairway and with many a clink and clack from them and grunt and wheeze from herself heaved them into one of the bins in the sort of communal bunker at the edge of the pavement
# ::tok conscious of the old boy watching her with hands on hips fiona dragged the sacks down the short concrete stairway and with many a clink and clack from them and grunt and wheeze from herself heaved them into one of the bins in the sort of communal bunker at the edge of the pavement
# ::alignments 47-48|0.1.1.0.4.0.0 46-47|0.1.1.0.4.0 44-45|0.1.1.0.4.0.0.0 31-32|0.1.0 29-30|0.1 25-26|0.1.1.0.4 22-23|0.1.1.0.2 20-21|0.0 18-19|0.1.1.0.3 17-18|0.1.1.0.1 15-16|0.2 12-13|0 8-9|0.1.1 5-6|0.1.1.0 4-5|0.1.1.0.0 3-4|0.1.1.0.0.0 0-1|0.1.1.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.601
# ::node	0	drag-01	12-13
# ::node	0.0	and	20-21
# ::node	0.1	and	29-30
# ::node	0.1.0	and	31-32
# ::node	0.1.1	hand	8-9
# ::node	0.1.1.0	watch-01	5-6
# ::node	0.1.1.0.0	boy	4-5
# ::node	0.1.1.0.0.0	old	3-4
# ::node	0.1.1.0.0.1	conscious	0-1
# ::node	0.1.1.0.1	short	17-18
# ::node	0.1.1.0.2	many	22-23
# ::node	0.1.1.0.3	concrete	18-19
# ::node	0.1.1.0.4	and	25-26
# ::node	0.1.1.0.4.0	commune	46-47
# ::node	0.1.1.0.4.0.0	bunker	47-48
# ::node	0.1.1.0.4.0.0.0	sort	44-45
# ::node	0.2	down	15-16
# ::root	0	drag-01
# ::edge	and	op1	drag-01	0.1	0	
# ::edge	and	op1	watch-01	0.1.1.0.4	0.1.1.0	
# ::edge	and	op2	and	0.1	0.1.0	
# ::edge	and	poss	commune	0.1.1.0.4	0.1.1.0.4.0	
# ::edge	boy	mod	old	0.1.1.0.0	0.1.1.0.0.0	
# ::edge	bunker	mod	commune	0.1.1.0.4.0.0	0.1.1.0.4.0	
# ::edge	bunker	mod	sort	0.1.1.0.4.0.0	0.1.1.0.4.0.0.0	
# ::edge	concrete	op1	watch-01	0.1.1.0.3	0.1.1.0	
# ::edge	conscious	topic	boy	0.1.1.0.0.1	0.1.1.0.0	
# ::edge	drag-01	ARG1	and	0	0.0	
# ::edge	drag-01	time	down	0	0.2	
# ::edge	hand	topic	and	0.1.1	0.1	
# ::edge	many	op1	watch-01	0.1.1.0.2	0.1.1.0	
# ::edge	short	op1	watch-01	0.1.1.0.1	0.1.1.0	
# ::edge	watch-01	ARG1	boy	0.1.1.0	0.1.1.0.0	
# ::edge	watch-01	ARG2	hand	0.1.1.0	0.1.1	
(d2 / drag-01 
      :ARG1 (a4 / and) 
      :op-of (a2 / and 
            :op1 (a / and) 
            :topic-of (h / hand 
                  :ARG2-of (w / watch-01 
                        :ARG1 (b2 / boy 
                              :mod (o / old) 
                              :topic-of (c3 / conscious)) 
                        :op-of (s2 / short) 
                        :op-of (m / many) 
                        :op-of (c2 / concrete) 
                        :op-of (a3 / and 
                              :poss (c / commune 
                                    :mod-of (b / bunker 
                                          :mod (s / sort))))))) 
      :time (d / down))

# ::snt what more can we do apart from dressing in old sacks
# ::tok what more can we do apart from dressing in old sacks
# ::alignments 9-10|0.0.1 7-8|0.0 5-6|0.0.2 3-4|0.0.0 2-3|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.798
# ::node	0	possible	2-3
# ::node	0.0	dress-01	7-8
# ::node	0.0.0	we	3-4
# ::node	0.0.1	old	9-10
# ::node	0.0.2	apart	5-6
# ::root	0	possible
# ::edge	apart	op1	dress-01	0.0.2	0.0	
# ::edge	dress-01	ARG0	we	0.0	0.0.0	
# ::edge	dress-01	ARG1	old	0.0	0.0.1	
# ::edge	possible	manner	dress-01	0	0.0	
(p / possible 
      :manner (d / dress-01 
            :ARG0 (w / we) 
            :ARG1 (o / old) 
            :op-of (a / apart)))

# ::snt few of them have the skills to carry out the often painful task of giving someone the sack
# ::tok few of them have the skills to carry out the often painful task of giving someone the sack
# ::alignments 15-16|0 12-13|0.0 11-12|0.0.0 10-11|0.0.0.1 5-6|0.0.1 0-1|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.854
# ::node	0	someone	15-16
# ::node	0.0	task	12-13
# ::node	0.0.0	pain-01	11-12
# ::node	0.0.0.0	few	0-1
# ::node	0.0.0.1	often	10-11
# ::node	0.0.1	skill	5-6
# ::root	0	someone
(s / someone 
      :prep-with-of (t / task 
            :ARG0-of (p / pain-01 
                  :ARG1 (f / few) 
                  :manner (o / often)) 
            :poss (s2 / skill)))

# ::snt what sort of toys are suitable for a horse  for a horse in a yard hessian sacks large balls a soft football a length of hose and plastic buckets and plastic garbage bins and lids can all provide entertainment
# ::tok what sort of toys are suitable for a horse for a horse in a yard hessian sacks large balls a soft football a length of hose and plastic buckets and plastic garbage bins and lids can all provide entertainment
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:43.855
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt the coach has restored some of the old order after the squabbling that surrounded the sacking of his predecessor thys libregts and has brought rinus michels in charge when holland won the european title two years ago into the squad as technical adviser
# ::tok the coach has restored some of the old order after the squabbling that surrounded the sacking of his predecessor thys libregts and has brought rinus michels in charge when holland won the european title two years ago into the squad as technical adviser
# ::alignments 42-43|0.0+0.0.0 41-42|0.0.0.0 39-40|0 35-36|0.0.0.1.0.2.0.0.0+0.0.0.1.0.2.0.0 34-35|0.0.0.1.0.2.0 33-34|0.0.0.1.1.0 32-33|0.0.0.1.1.0.0.0.0+0.0.0.1.1.0.0.0+0.0.0.1.1.0.0 30-31|0.0.0.1.1 21-22|0.0.0.1 13-14|0.0.0.1.0.2 9-10|0.0.0.1.0.3 7-8|0.0.0.1.1.1 4-5|0.0.0.1.0.1 3-4|0.0.0.1.0 1-2|0.0.0.1.0.0.0+0.0.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:44.573
# ::node	0	squad	39-40
# ::node	0.0	advise-01	42-43
# ::node	0.0.0	person	42-43
# ::node	0.0.0.0	technical	41-42
# ::node	0.0.0.1	and	21-22
# ::node	0.0.0.1.0	restore-01	3-4
# ::node	0.0.0.1.0.0	person	1-2
# ::node	0.0.0.1.0.0.0	coach-01	1-2
# ::node	0.0.0.1.0.1	some	4-5
# ::node	0.0.0.1.0.2	surround-01	13-14
# ::node	0.0.0.1.0.2.0	2	34-35
# ::node	0.0.0.1.0.2.0.0	temporal-quantity	35-36
# ::node	0.0.0.1.0.2.0.0.0	year	35-36
# ::node	0.0.0.1.0.3	after	9-10
# ::node	0.0.0.1.1	win-01	30-31
# ::node	0.0.0.1.1.0	title	33-34
# ::node	0.0.0.1.1.0.0	continent	32-33
# ::node	0.0.0.1.1.0.0.0	name	32-33
# ::node	0.0.0.1.1.0.0.0.0	"Europe"	32-33
# ::node	0.0.0.1.1.1	old	7-8
# ::root	0	squad
(s / squad 
      :ARG1-of (a / advise-01 
            :ARG0 (p / person 
                  :mod (t / technical) 
                  :op-of (a2 / and 
                        :condition-of (r / restore-01 
                              :ARG0 (p2 / person 
                                    :ARG0-of (c2 / coach-01)) 
                              :ARG1 (s3 / some) 
                              :ARG1-of (s2 / surround-01 
                                    :ARG0 (2 / 2 
                                          :quant-of (t2 / temporal-quantity 
                                                :unit (y / year)))) 
                              :time (a3 / after)) 
                        :op1 (w / win-01 
                              :ARG1 (t3 / title 
                                    :mod (c / continent 
                                          :name (n / name 
                                                :op1 "Europe"))) 
                              :op-of (o / old))))))

# ::snt 0 chris nicholl started the season as favourite for what one newspaper called the sack race but an unbeaten sequence stretching back 10 games has familiarised southamptons manager and his team with a more rewarding winning post
# ::tok 0 chris nicholl started the season as favourite for what one newspaper called the sack race but an unbeaten sequence stretching back 10 games has familiarised southamptons manager and his team with a more rewarding winning post
# ::alignments 36-37|0.1.0.0.0.1.0 35-36|0.1.0.0.0.1 30-31|0.1.0.0.0.3 28-29|0.1.0.0.0 27-28|0.1.0.0 23-24|0.1.0 22-23|0.1.0.1 21-22|0.1.2 20-21|0.1 19-20|0.1.1 16-17|0 15-16|0.0 11-12|0.1.1.0 7-8|0.1.0.0.0.0 5-6|0.1.0.0.0.2.0 3-4|0.1.0.0.0.2 1-2|0.1.0.0.0.0.0.0.0+0.1.0.0.0.0.0.0+0.1.0.0.0.0.0 0-1|0.1.0.0.0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:45.400
# ::node	0	contrast-01	16-17
# ::node	0.0	race	15-16
# ::node	0.1	stretch-01	20-21
# ::node	0.1.0	game	23-24
# ::node	0.1.0.0	manage-01	27-28
# ::node	0.1.0.0.0	and	28-29
# ::node	0.1.0.0.0.0	favor-01	7-8
# ::node	0.1.0.0.0.0.0	person	1-2
# ::node	0.1.0.0.0.0.0.0	name	1-2
# ::node	0.1.0.0.0.0.0.0.0	"chris"	1-2
# ::node	0.1.0.0.0.0.0.1	0	0-1
# ::node	0.1.0.0.0.1	win-01	35-36
# ::node	0.1.0.0.0.1.0	post	36-37
# ::node	0.1.0.0.0.2	start-01	3-4
# ::node	0.1.0.0.0.2.0	season	5-6
# ::node	0.1.0.0.0.3	team	30-31
# ::node	0.1.0.1	10	22-23
# ::node	0.1.1	sequence-00	19-20
# ::node	0.1.1.0	newspaper	11-12
# ::node	0.1.2	back	21-22
# ::root	0	contrast-01
# ::edge	and	op1	manage-01	0.1.0.0.0	0.1.0.0	
# ::edge	and	op2	team	0.1.0.0.0	0.1.0.0.0.3	
