# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# ::edge	finish-01	ARG0	he	0.0	0.0.0	
# ::edge	finish-01	ARG1	possible	0.0	0	
# ::edge	finish-01	ARG2	temporal-quantity	0.0	0.0.1	
# ::edge	leave-01	ARG1	garden	0.1	0.1.0	
# ::edge	monetary-quantity	unit	dollar	0.2.1	0.2.1.0	
# ::edge	possible	domain	leave-01	0	0.1	
# ::edge	possible	op1	exceed-01	0	0.2	
# ::edge	temporal-quantity	unit	decade	0.0.1	0.0.1.0	
(p / possible 
      :ARG1-of (f / finish-01 
            :ARG0 (h / he) 
            :ARG2 (t / temporal-quantity 
                  :unit (d2 / decade))) 
      :domain (l / leave-01 
            :ARG1 (g / garden)) 
      :op1 (e / exceed-01 
            :ARG0 (a / another) 
            :ARG1 (m / monetary-quantity 
                  :unit (d / dollar))))

# ::snt a large majority of all children worked 10 hours or less per week and 6 per cent of london boys worked in excess of 20 hours
# ::tok a large majority of all children worked 10 hours or less per week and 6 per cent of london boys worked in excess of 20 hours
# ::alignments 25-26|0.0.0.1.0.1.1.2+0.0.0.1.0.1.1 24-25|0.0.0.1.0.1.1.0 22-23|0.0.0.1.0.1 20-21|0.0.0.1.0 19-20|0.0.0.1.0.0 18-19|0.0.0.1.0.1.0.0.0+0.0.0.1.0.1.0.0+0.0.0.1.0.1.0 16-17|0.0.0.1.0.0.0+0.0.0.1.0.0.0.0 14-15|0.0.0.1.0.1.1.1 13-14|0.0.1 12-13|0.0.2 10-11|0.1.0 9-10|0 8-9|0.1.2+0.1 7-8|0.1.1 6-7|0.0 5-6|0.0.0.1 4-5|0.0.0.1.1 2-3|0.0.0 1-2|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:13.813
# ::node	0	or	9-10
# ::node	0.0	work-01	6-7
# ::node	0.0.0	majority	2-3
# ::node	0.0.0.0	large	1-2
# ::node	0.0.0.1	child	5-6
# ::node	0.0.0.1.0	work-01	20-21
# ::node	0.0.0.1.0.0	boy	19-20
# ::node	0.0.0.1.0.0.0	cent	16-17
# ::node	0.0.0.1.0.0.0.0	monetary-quantity	16-17
# ::node	0.0.0.1.0.1	exceed-01	22-23
# ::node	0.0.0.1.0.1.0	city	18-19
# ::node	0.0.0.1.0.1.0.0	name	18-19
# ::node	0.0.0.1.0.1.0.0.0	"London"	18-19
# ::node	0.0.0.1.0.1.1	temporal-quantity	25-26
# ::node	0.0.0.1.0.1.1.0	20	24-25
# ::node	0.0.0.1.0.1.1.1	6	14-15
# ::node	0.0.0.1.0.1.1.2	hour	25-26
# ::node	0.0.0.1.1	all	4-5
# ::node	0.0.1	and	13-14
# ::node	0.0.2	week	12-13
# ::node	0.1	temporal-quantity	8-9
# ::node	0.1.0	less	10-11
# ::node	0.1.1	10	7-8
# ::node	0.1.2	hour	8-9
# ::root	0	or
# ::edge	cent	topic	boy	0.0.0.1.0.0.0	0.0.0.1.0.0	
# ::edge	child	mod	majority	0.0.0.1	0.0.0	
# ::edge	child	quant	all	0.0.0.1	0.0.0.1.1	
# ::edge	city	name	name	0.0.0.1.0.1.0	0.0.0.1.0.1.0.0	
# ::edge	exceed-01	ARG0	city	0.0.0.1.0.1	0.0.0.1.0.1.0	
# ::edge	exceed-01	ARG2	temporal-quantity	0.0.0.1.0.1	0.0.0.1.0.1.1	
# ::edge	less	op1	temporal-quantity	0.1.0	0.1	
# ::edge	majority	mod	large	0.0.0	0.0.0.0	
# ::edge	monetary-quantity	unit	cent	0.0.0.1.0.0.0.0	0.0.0.1.0.0.0	
# ::edge	name	op1	"London"	0.0.0.1.0.1.0.0	0.0.0.1.0.1.0.0.0	
# ::edge	or	op1	temporal-quantity	0	0.1	
# ::edge	temporal-quantity	quant	10	0.1	0.1.1	
# ::edge	temporal-quantity	quant	20	0.0.0.1.0.1.1	0.0.0.1.0.1.1.0	
# ::edge	temporal-quantity	quant	6	0.0.0.1.0.1.1	0.0.0.1.0.1.1.1	
# ::edge	temporal-quantity	unit	hour	0.0.0.1.0.1.1	0.0.0.1.0.1.1.2	
# ::edge	temporal-quantity	unit	hour	0.1	0.1.2	
# ::edge	work-01	ARG0	child	0.0.0.1.0	0.0.0.1	
# ::edge	work-01	ARG0	majority	0.0	0.0.0	
# ::edge	work-01	ARG1	boy	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	work-01	ARG1	or	0.0	0	
# ::edge	work-01	ARG2	and	0.0	0.0.1	
# ::edge	work-01	ARG3	exceed-01	0.0.0.1.0	0.0.0.1.0.1	
# ::edge	work-01	time	week	0.0	0.0.2	
(o / or 
      :ARG1-of (w3 / work-01 
            :ARG0 (m2 / majority 
                  :mod (l2 / large) 
                  :mod-of (c3 / child 
                        :ARG0-of (w / work-01 
                              :ARG1 (b / boy 
                                    :topic-of (c2 / cent 
                                          :unit-of (m / monetary-quantity))) 
                              :ARG3 (e / exceed-01 
                                    :ARG0 (c / city 
                                          :name (n / name 
                                                :op1 "London")) 
                                    :ARG2 (t / temporal-quantity 
                                          :quant 20 
                                          :quant 6 
                                          :unit (h / hour)))) 
                        :quant (a2 / all))) 
            :ARG2 (a / and) 
            :time (w2 / week)) 
      :op1 (t2 / temporal-quantity 
            :op-of (l / less) 
            :quant 10 
            :unit (h2 / hour)))

# ::snt having been sacked from ulm in 1934 for excess of talent he survived in aachen only until 1942
# ::tok having been sacked from ulm in 1934 for excess of talent he survived in aachen only until 1942
# ::alignments 17-18|0.1.0+0.1 16-17|0 15-16|0.0 12-13|0.2 11-12|0.2.0 10-11|0.2.1 8-9|0.2.1.0 6-7|0.2.2.0+0.2.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:13.944
# ::node	0	until	16-17
# ::node	0.0	only	15-16
# ::node	0.1	date-entity	17-18
# ::node	0.1.0	1942	17-18
# ::node	0.2	survive-01	12-13
# ::node	0.2.0	he	11-12
# ::node	0.2.1	talent	10-11
# ::node	0.2.1.0	exceed-01	8-9
# ::node	0.2.2	date-entity	6-7
# ::node	0.2.2.0	1934	6-7
# ::root	0	until
# ::edge	date-entity	year	1934	0.2.2	0.2.2.0	
# ::edge	date-entity	year	1942	0.1	0.1.0	
# ::edge	exceed-01	ARG1	talent	0.2.1.0	0.2.1	
# ::edge	survive-01	ARG0	he	0.2	0.2.0	
# ::edge	survive-01	ARG1	talent	0.2	0.2.1	
# ::edge	survive-01	ARG2	date-entity	0.2	0.2.2	
# ::edge	survive-01	time	until	0.2	0	
# ::edge	until	mod	only	0	0.0	
# ::edge	until	op1	date-entity	0	0.1	
(u / until 
      :mod (o / only) 
      :op1 (d / date-entity 
            :year 1942) 
      :time-of (s / survive-01 
            :ARG0 (h / he) 
            :ARG1 (t / talent 
                  :ARG1-of (e / exceed-01)) 
            :ARG2 (d2 / date-entity 
                  :year 1934)))

# ::snt last year the total was well in excess of 2000 for the first time
# ::tok last year the total was well in excess of 2000 for the first time
# ::alignments 13-14|0 9-10|0.0.1.0+0.0.1 7-8|0.0 5-6|0.0.2 1-2|0.0.0 0-1|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:13.972
# ::node	0	time	13-14
# ::node	0.0	exceed-01	7-8
# ::node	0.0.0	year	1-2
# ::node	0.0.0.0	last	0-1
# ::node	0.0.1	date-entity	9-10
# ::node	0.0.1.0	2000	9-10
# ::node	0.0.2	well	5-6
# ::root	0	time
(t / time 
      :ARG1-of (e / exceed-01 
            :ARG0 (y / year 
                  :mod (l / last)) 
            :time (d / date-entity 
                  :year 2000) 
            :time (w / well)))

# ::snt an arable and stock farm in shabbington on the oxfordshirebuckinghamshire border has come on to the property market priced in excess of 600000
# ::tok an arable and stock farm in shabbington on the oxfordshirebuckinghamshire border has come on to the property market priced in excess of 600000
# ::alignments 22-23|0.0.2.2+0.0.2.1+0.0.2.0+0.0.2 20-21|0.0.1 18-19|0.0 17-18|0.0.0 16-17|0.0.0.0 10-11|0.1.0 4-5|0 3-4|0.1.1 2-3|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:14.111
# ::node	0	farm	4-5
# ::node	0.0	price-01	18-19
# ::node	0.0.0	market	17-18
# ::node	0.0.0.0	property	16-17
# ::node	0.0.1	exceed-01	20-21
# ::node	0.0.2	date-entity	22-23
# ::node	0.0.2.0	0	22-23
# ::node	0.0.2.1	0	22-23
# ::node	0.0.2.2	60	22-23
# ::node	0.1	and	2-3
# ::node	0.1.0	border-01	10-11
# ::node	0.1.1	stock	3-4
# ::root	0	farm
(f / farm 
      :ARG0-of (p / price-01 
            :ARG1 (m / market 
                  :mod (p2 / property)) 
            :ARG2 (e / exceed-01) 
            :time (d / date-entity 
                  :day 0 
                  :month 0 
                  :year 60)) 
      :op-of (a / and 
            :ARG1-of (b / border-01) 
            :op1 (s / stock)))

# ::snt violence apart it will be interesting to see whether david campeses death or glory excesses which often got his side into trouble will be curbed in the third test
# ::tok violence apart it will be interesting to see whether david campeses death or glory excesses which often got his side into trouble will be curbed in the third test
# ::alignments 28-29|0.3.0.0 24-25|0.3.0 21-22|0.3.0.0.1 19-20|0.3.0.0.1.0 16-17|0.3.0.0.0 13-14|0.3.2 12-13|0.3 11-12|0.3.1 7-8|0 5-6|0.2 2-3|0.0 1-2|0.1 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:14.320
# ::node	0	see-01	7-8
# ::node	0.0	it	2-3
# ::node	0.0.0	violence	0-1
# ::node	0.1	apart	1-2
# ::node	0.2	interesting	5-6
# ::node	0.3	or	12-13
# ::node	0.3.0	curb-01	24-25
# ::node	0.3.0.0	test-01	28-29
# ::node	0.3.0.0.0	often	16-17
# ::node	0.3.0.0.1	trouble-01	21-22
# ::node	0.3.0.0.1.0	side	19-20
# ::node	0.3.1	die-01	11-12
# ::node	0.3.2	glory	13-14
# ::root	0	see-01
# ::edge	curb-01	ARG1	or	0.3.0	0.3	
# ::edge	curb-01	ARG2	test-01	0.3.0	0.3.0.0	
# ::edge	interesting	domain	see-01	0.2	0	
# ::edge	or	op1	die-01	0.3	0.3.1	
# ::edge	or	op2	glory	0.3	0.3.2	
# ::edge	see-01	ARG0	it	0	0.0	
# ::edge	see-01	ARG1	apart	0	0.1	
# ::edge	see-01	source	or	0	0.3	
# ::edge	side	topic	trouble-01	0.3.0.0.1.0	0.3.0.0.1	
# ::edge	test-01	ARG1	often	0.3.0.0	0.3.0.0.0	
# ::edge	trouble-01	ARG1	test-01	0.3.0.0.1	0.3.0.0	
# ::edge	violence	poss	it	0.0.0	0.0	
(s2 / see-01 
      :ARG0 (i2 / it 
            :poss-of (v / violence)) 
      :ARG1 (a / apart) 
      :domain-of (i / interesting) 
      :source (o2 / or 
            :ARG1-of (c / curb-01 
                  :ARG2 (t / test-01 
                        :ARG1 (o / often) 
                        :ARG1-of (t2 / trouble-01 
                              :topic-of (s / side)))) 
            :op1 (d / die-01) 
            :op2 (g / glory)))

# ::snt if channel 4s income rises above a 14 per cent level then it will split the excess between itself and channel 3 its guarantors
# ::tok if channel 4s income rises above a 14 per cent level then it will split the excess between itself and channel 3 its guarantors
# ::alignments 21-22|0.1.0 20-21|0.2 19-20|0 17-18|0.1.1.0.0 16-17|0.1.1.0 14-15|0.1 12-13|0.1.1 11-12|0.1.2.1 10-11|0.1.2 9-10|0.1.2.0.0+0.1.2.0 7-8|0.0.0.0 5-6|0.0.2 4-5|0.0 3-4|0.0.1 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:14.867
# ::node	0	and	19-20
# ::node	0.0	rise-01	4-5
# ::node	0.0.0	channel	1-2
# ::node	0.0.0.0	14	7-8
# ::node	0.0.1	income	3-4
# ::node	0.0.2	above	5-6
# ::node	0.1	split-01	14-15
# ::node	0.1.0	3	21-22
# ::node	0.1.1	it	12-13
# ::node	0.1.1.0	exceed-01	16-17
# ::node	0.1.1.0.0	between	17-18
# ::node	0.1.2	level	10-11
# ::node	0.1.2.0	monetary-quantity	9-10
# ::node	0.1.2.0.0	cent	9-10
# ::node	0.1.2.1	then	11-12
# ::node	0.2	channel	20-21
# ::root	0	and
# ::edge	and	op1	rise-01	0	0.0	
# ::edge	and	op2	split-01	0	0.1	
# ::edge	and	op3	channel	0	0.2	
# ::edge	channel	quant	14	0.0.0	0.0.0.0	
# ::edge	exceed-01	ARG0	it	0.1.1.0	0.1.1	
# ::edge	exceed-01	ARG1	between	0.1.1.0	0.1.1.0.0	
# ::edge	level	mod	monetary-quantity	0.1.2	0.1.2.0	
# ::edge	level	mod	then	0.1.2	0.1.2.1	
# ::edge	monetary-quantity	unit	cent	0.1.2.0	0.1.2.0.0	
# ::edge	rise-01	ARG0	channel	0.0	0.0.0	
# ::edge	rise-01	ARG1	income	0.0	0.0.1	
# ::edge	rise-01	ARG2	above	0.0	0.0.2	
# ::edge	split-01	ARG0	3	0.1	0.1.0	
# ::edge	split-01	ARG1	it	0.1	0.1.1	
# ::edge	split-01	condition	level	0.1	0.1.2	
(a / and 
      :op1 (r / rise-01 
            :ARG0 (c3 / channel 
                  :quant 14) 
            :ARG1 (i2 / income) 
            :ARG2 (a2 / above)) 
      :op2 (s / split-01 
            :ARG0 3 
            :ARG1 (i / it 
                  :ARG0-of (e / exceed-01 
                        :ARG1 (b / between))) 
            :condition (l / level 
                  :mod (m / monetary-quantity 
                        :unit (c2 / cent)) 
                  :mod (t / then))) 
      :op3 (c / channel))

# ::snt entry to the contest is open to any driver who completes in excess of 10000 miles a year for business purposes on uk roads whether in their own car or a company vehicle
# ::tok entry to the contest is open to any driver who completes in excess of 10000 miles a year for business purposes on uk roads whether in their own car or a company vehicle
# ::alignments 32-33|0.1.0.0.1 31-32|0.1.0.0.0 29-30|0.1.0.0 28-29|0.1.0.0.2 23-24|0.0.1.0.0 20-21|0.0.1.0 19-20|0.0.1.0.1 17-18|0.0.1 15-16|0.0.0.1+0.0.0 14-15|0.0.0.0 12-13|0.0 8-9|0.1+0.1.0 7-8|0.1.0.1 3-4|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:15.054
# ::node	0	contest-00	3-4
# ::node	0.0	exceed-01	12-13
# ::node	0.0.0	distance-quantity	15-16
# ::node	0.0.0.0	10000	14-15
# ::node	0.0.0.1	mile	15-16
# ::node	0.0.1	year	17-18
# ::node	0.0.1.0	purpose	20-21
# ::node	0.0.1.0.0	road	23-24
# ::node	0.0.1.0.1	business	19-20
# ::node	0.1	drive-01	8-9
# ::node	0.1.0	person	8-9
# ::node	0.1.0.0	or	29-30
# ::node	0.1.0.0.0	company	31-32
# ::node	0.1.0.0.1	vehicle	32-33
# ::node	0.1.0.0.2	car	28-29
# ::node	0.1.0.1	any	7-8
# ::root	0	contest-00
# ::edge	car	quant	or	0.1.0.0.2	0.1.0.0	
# ::edge	contest-00	ARG1	exceed-01	0	0.0	
# ::edge	distance-quantity	quant	10000	0.0.0	0.0.0.0	
# ::edge	distance-quantity	unit	mile	0.0.0	0.0.0.1	
# ::edge	drive-01	ARG0	person	0.1	0.1.0	
# ::edge	drive-01	ARG1	contest-00	0.1	0	
# ::edge	exceed-01	ARG1	distance-quantity	0.0	0.0.0	
# ::edge	exceed-01	ARG2	year	0.0	0.0.1	
# ::edge	or	domain	person	0.1.0.0	0.1.0	
# ::edge	or	op1	company	0.1.0.0	0.1.0.0.0	
# ::edge	or	op2	vehicle	0.1.0.0	0.1.0.0.1	
# ::edge	person	mod	any	0.1.0	0.1.0.1	
# ::edge	purpose	location	road	0.0.1.0	0.0.1.0.0	
# ::edge	purpose	mod	business	0.0.1.0	0.0.1.0.1	
# ::edge	year	location	purpose	0.0.1	0.0.1.0	
(c3 / contest-00 
      :ARG1 (e / exceed-01 
            :ARG1 (d / distance-quantity 
                  :quant 10000 
                  :unit (m / mile)) 
            :ARG2 (y / year 
                  :location (p / purpose 
                        :location (r / road) 
                        :mod (b / business)))) 
      :ARG1-of (d2 / drive-01 
            :ARG0 (p2 / person 
                  :domain-of (o / or 
                        :op1 (c / company) 
                        :op2 (v / vehicle) 
                        :quant-of (c2 / car)) 
                  :mod (a / any))))

# ::snt the excesses of wall street have been a central issue of the last decade and this is highclass readable source material
# ::tok the excesses of wall street have been a central issue of the last decade and this is highclass readable source material
# ::alignments 20-21|0.1.0 19-20|0.1 15-16|0.0.0.0.0 14-15|0 13-14|0.0.0+0.0 12-13|0.0.0.0 9-10|0.3 8-9|0.3.0 4-5|0.2.0 3-4|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:15.114
# ::node	0	and	14-15
# ::node	0.0	temporal-quantity	13-14
# ::node	0.0.0	decade	13-14
# ::node	0.0.0.0	last	12-13
# ::node	0.0.0.0.0	this	15-16
# ::node	0.1	source	19-20
# ::node	0.1.0	material	20-21
# ::node	0.2	wall	3-4
# ::node	0.2.0	street	4-5
# ::node	0.3	issue	9-10
# ::node	0.3.0	central	8-9
# ::root	0	and
# ::edge	and	op1	temporal-quantity	0	0.0	
# ::edge	and	op2	source	0	0.1	
# ::edge	and	poss	wall	0	0.2	
# ::edge	decade	mod	last	0.0.0	0.0.0.0	
# ::edge	issue	mod	central	0.3	0.3.0	
# ::edge	issue	topic	and	0.3	0	
# ::edge	source	location	material	0.1	0.1.0	
# ::edge	street	mod	wall	0.2.0	0.2	
# ::edge	temporal-quantity	unit	decade	0.0	0.0.0	
# ::edge	this	example	last	0.0.0.0.0	0.0.0.0	
(a / and 
      :op1 (t2 / temporal-quantity 
            :unit (d / decade 
                  :mod (l / last 
                        :example-of (t / this)))) 
      :op2 (s / source 
            :location (m / material)) 
      :poss (w / wall 
            :mod-of (s2 / street)) 
      :topic-of (i / issue 
            :mod (c / central)))

# ::snt the success of scrooge may make us realise that we have lost something worth having but that we have only our own excesses to blame
# ::tok the success of scrooge may make us realise that we have lost something worth having but that we have only our own excesses to blame
# ::alignments 24-25|0.0.0.0 19-20|0.0.0.0.0 17-18|0.1 15-16|0 13-14|0.0 12-13|0.0.0 11-12|0.0.0.1 9-10|0.0.0.1.0 7-8|0.0.0.1.1 4-5|0.0.0.1.1.0.0.0+0.0.0.1.1.0.0 1-2|0.0.0.1.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:15.296
# ::node	0	contrast-01	15-16
# ::node	0.0	worth	13-14
# ::node	0.0.0	something	12-13
# ::node	0.0.0.0	blame-01	24-25
# ::node	0.0.0.0.0	only	19-20
# ::node	0.0.0.1	lose-02	11-12
# ::node	0.0.0.1.0	we	9-10
# ::node	0.0.0.1.1	realize-01	7-8
# ::node	0.0.0.1.1.0	succeed-01	1-2
# ::node	0.0.0.1.1.0.0	date-entity	4-5
# ::node	0.0.0.1.1.0.0.0	5	4-5
# ::node	0.1	we	17-18
# ::root	0	contrast-01
# ::edge	blame-01	ARG0	something	0.0.0.0	0.0.0	
# ::edge	blame-01	ARG1	only	0.0.0.0	0.0.0.0.0	
# ::edge	contrast-01	ARG1	worth	0	0.0	
# ::edge	contrast-01	ARG2	we	0	0.1	
# ::edge	date-entity	month	5	0.0.0.1.1.0.0	0.0.0.1.1.0.0.0	
# ::edge	lose-02	ARG0	we	0.0.0.1	0.0.0.1.0	
# ::edge	lose-02	ARG1	something	0.0.0.1	0.0.0	
# ::edge	realize-01	ARG0	succeed-01	0.0.0.1.1	0.0.0.1.1.0	
# ::edge	realize-01	ARG1	lose-02	0.0.0.1.1	0.0.0.1	
# ::edge	something	location	worth	0.0.0	0.0	
# ::edge	succeed-01	ARG0	date-entity	0.0.0.1.1.0	0.0.0.1.1.0.0	
(c / contrast-01 
      :ARG1 (w2 / worth 
            :location-of (s / something 
                  :ARG0-of (b / blame-01 
                        :ARG1 (o / only)) 
                  :ARG1-of (l / lose-02 
                        :ARG0 (w3 / we) 
                        :ARG1-of (r / realize-01 
                              :ARG0 (s2 / succeed-01 
                                    :ARG0 (d / date-entity 
                                          :month 5)))))) 
      :ARG2 (w / we))

# ::snt regulars got a little bored with the old production but have yet to get used to the occasionally vulgar excesses of act ii of anthony dowells 1987 version
# ::tok regulars got a little bored with the old production but have yet to get used to the occasionally vulgar excesses of act ii of anthony dowells 1987 version
# ::alignments 27-28|0.2.0 26-27|0.1.0.0.0+0.1.0.0 22-23|0.2.1 21-22|0.2.1.0 17-18|0.0 14-15|0.2 11-12|0.2.2 9-10|0 8-9|0.1.0 7-8|0.1.0.1 4-5|0.1 3-4|0.2.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:15.564
# ::node	0	contrast-01	9-10
# ::node	0.0	occasional	17-18
# ::node	0.1	bore-02	4-5
# ::node	0.1.0	produce-01	8-9
# ::node	0.1.0.0	date-entity	26-27
# ::node	0.1.0.0.0	1987	26-27
# ::node	0.1.0.1	old	7-8
# ::node	0.2	use-01	14-15
# ::node	0.2.0	version	27-28
# ::node	0.2.1	ii	22-23
# ::node	0.2.1.0	act-02	21-22
# ::node	0.2.1.0.0	little	3-4
# ::node	0.2.2	yet	11-12
# ::root	0	contrast-01
# ::edge	act-02	ARG0	ii	0.2.1.0	0.2.1	
# ::edge	act-02	ARG1	little	0.2.1.0	0.2.1.0.0	
# ::edge	bore-02	ARG1	produce-01	0.1	0.1.0	
# ::edge	contrast-01	ARG0	occasional	0	0.0	
# ::edge	contrast-01	ARG1	bore-02	0	0.1	
# ::edge	contrast-01	ARG2	use-01	0	0.2	
# ::edge	date-entity	year	1987	0.1.0.0	0.1.0.0.0	
# ::edge	produce-01	ARG1	date-entity	0.1.0	0.1.0.0	
# ::edge	produce-01	mod	old	0.1.0	0.1.0.1	
# ::edge	use-01	ARG0	version	0.2	0.2.0	
# ::edge	use-01	ARG1	ii	0.2	0.2.1	
# ::edge	use-01	mod	yet	0.2	0.2.2	
(c / contrast-01 
      :ARG0 (o / occasional) 
      :ARG1 (b / bore-02 
            :ARG1 (p / produce-01 
                  :ARG1 (d / date-entity 
                        :year 1987) 
                  :mod (o2 / old))) 
      :ARG2 (u / use-01 
            :ARG0 (v / version) 
            :ARG1 (i / ii 
                  :ARG0-of (a / act-02 
                        :ARG1 (l / little))) 
            :mod (y / yet)))

# ::snt a typical large commercial machine executes a program at a rate of 10 to 50 million instructions per second or mips even a relatively inexpensive personal computer costing 1000 say can compute at a rate in excess of 100 thousand instructions per second 
# ::tok a typical large commercial machine executes a program at a rate of 10 to 50 million instructions per second or mips even a relatively inexpensive personal computer costing 1000 say can compute at a rate in excess of 100 thousand instructions per second
# ::alignments 40-41|0.2.3.0 38-39|0.2.0 36-37|0.2.3 34-35|0.2.3.1 30-31|0.1 29-30|0 28-29|0.2.4.0+0.2.4 27-28|0.2 26-27|0.2.1 25-26|0.2.1.0 23-24|0.0.0.0.0.0 19-20|0.2.2 16-17|0.2.2.0 14-15|0.2.3.2 12-13|0.2.3.3 10-11|0.0 7-8|0.0.0.1 5-6|0.0.0 4-5|0.0.0.0 3-4|0.0.0.0.2 2-3|0.0.0.0.1 1-2|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:16.620
# ::node	0	say-01	29-30
# ::node	0.0	rate	10-11
# ::node	0.0.0	execute-01	5-6
# ::node	0.0.0.0	machine	4-5
# ::node	0.0.0.0.0	typify-01	1-2
# ::node	0.0.0.0.0.0	relative	23-24
# ::node	0.0.0.0.1	large	2-3
# ::node	0.0.0.0.2	commerce	3-4
# ::node	0.0.0.1	program	7-8
# ::node	0.1	possible	30-31
# ::node	0.2	cost-01	27-28
# ::node	0.2.0	100	38-39
# ::node	0.2.1	computer	26-27
# ::node	0.2.1.0	personal	25-26
# ::node	0.2.2	or	19-20
# ::node	0.2.2.0	instruction	16-17
# ::node	0.2.3	exceed-01	36-37
# ::node	0.2.3.0	instruction	40-41
# ::node	0.2.3.1	rate	34-35
# ::node	0.2.3.2	50	14-15
# ::node	0.2.3.3	10	12-13
# ::node	0.2.4	date-entity	28-29
# ::node	0.2.4.0	1000	28-29
# ::root	0	say-01
# ::edge	10	op1	exceed-01	0.2.3.3	0.2.3	
# ::edge	50	op1	exceed-01	0.2.3.2	0.2.3	
# ::edge	computer	mod	personal	0.2.1	0.2.1.0	
# ::edge	cost-01	ARG0	100	0.2	0.2.0	
# ::edge	cost-01	ARG1	computer	0.2	0.2.1	
# ::edge	cost-01	ARG2	or	0.2	0.2.2	
# ::edge	cost-01	condition	say-01	0.2	0	
# ::edge	cost-01	time	date-entity	0.2	0.2.4	
# ::edge	date-entity	year	1000	0.2.4	0.2.4.0	
# ::edge	exceed-01	ARG1	instruction	0.2.3	0.2.3.0	
# ::edge	exceed-01	ARG2	cost-01	0.2.3	0.2	
# ::edge	execute-01	ARG0	machine	0.0.0	0.0.0.0	
# ::edge	execute-01	ARG1	program	0.0.0	0.0.0.1	
# ::edge	execute-01	ARG2	rate	0.0.0	0.0	
# ::edge	machine	mod	commerce	0.0.0.0	0.0.0.0.2	
# ::edge	machine	mod	large	0.0.0.0	0.0.0.0.1	
# ::edge	or	op1	instruction	0.2.2	0.2.2.0	
# ::edge	rate	mod	exceed-01	0.2.3.1	0.2.3	
# ::edge	say-01	ARG0	rate	0	0.0	
# ::edge	say-01	ARG1	possible	0	0.1	
# ::edge	typify-01	ARG0	machine	0.0.0.0.0	0.0.0.0	
# ::edge	typify-01	ARG1	relative	0.0.0.0.0	0.0.0.0.0.0	
(s / say-01 
      :ARG0 (r3 / rate 
            :ARG2-of (e2 / execute-01 
                  :ARG0 (m / machine 
                        :ARG0-of (t / typify-01 
                              :ARG1 (r2 / relative)) 
                        :mod (l / large) 
                        :mod (c3 / commerce)) 
                  :ARG1 (p3 / program))) 
      :ARG1 (p / possible) 
      :condition-of (c / cost-01 
            :ARG0 100 
            :ARG1 (c2 / computer 
                  :mod (p2 / personal)) 
            :ARG2 (o / or 
                  :op1 (i2 / instruction)) 
            :ARG2-of (e / exceed-01 
                  :ARG1 (i / instruction) 
                  :mod-of (r / rate) 
